Região Geográfica Intermediária (2022),Região Geográfica Imediata (2022),Mesorregião Histórica,Município,Código IBGE,Pertence à Zona da Mata,uf,CAFs PF ATIVO,CAFs PJ ATIVO,QUANTIDADE DE MULHERES EM CAF ATIVO,QUANTIDADE DE HOMENS EM CAF ATIVO,Quantidade de Agricultores Familiares,Operações em 2025,Crédito Pronaf em 2025 (R$)
Barbacena,Barbacena,Zona da Mata,Alto Rio Doce,3102100,Sim,MG,127,1,115,143,258,38.0,3301614.27
Barbacena,Barbacena,Zona da Mata,Cipotânea,3116308,Sim,MG,38,1,38,47,85,5.0,542118.21
Barbacena,Barbacena,Zona da Mata,Santa Rita de Ibitipoca,3159407,Sim,MG,53,0,34,52,86,9.0,644771.9500000001
Barbacena,Conselheiro Lafaiete,Zona da Mata,Lamim,3137908,Sim,MG,81,0,79,89,168,5.0,371136.76
Barbacena,Conselheiro Lafaiete,Zona da Mata,Piranga,3150802,Sim,MG,1087,0,1165,1171,2336,57.0,5061176.6
Barbacena,Conselheiro Lafaiete,Zona da Mata,Rio Espera,3155207,Sim,MG,171,1,162,176,338,11.0,1127426.83
Barbacena,Conselheiro Lafaiete,Zona da Mata,Senhora de Oliveira,3166006,Sim,MG,44,0,46,51,97,1.0,80000.0
Ipatinga,Caratinga,Zona da Mata,Raul Soares,3154002,Sim,MG,545,1,477,582,1059,152.0,9606472.58
Ipatinga,Caratinga,Zona da Mata,Vermelho Novo,3171154,Sim,MG,311,0,263,309,572,54.0,3052105.63
Juíz de Fora,Além Paraíba,Zona da Mata,Além Paraíba,3101508,Sim,MG,31,0,25,34,59,19.0,1411711.6
Juíz de Fora,Além Paraíba,Zona da Mata,Estrela Dalva,3124609,Sim,MG,16,0,16,17,33,3.0,162296.61
Juíz de Fora,Além Paraíba,Zona da Mata,Pirapetinga,3151107,Sim,MG,32,0,27,36,63,8.0,633471.24
Juíz de Fora,Além Paraíba,Zona da Mata,Santo Antônio do Aventureiro,3160009,Sim,MG,60,1,42,56,98,13.0,897197.98
Juíz de Fora,Além Paraíba,Zona da Mata,Volta Grande,3172103,Sim,MG,11,0,7,10,17,,
Juíz de Fora,Carangola,Zona da Mata,Caiana,3110103,Sim,MG,276,0,236,295,531,120.0,7409410.1
Juíz de Fora,Carangola,Zona da Mata,Carangola,3113305,Sim,MG,501,3,536,621,1157,150.0,8580074.370000001
Juíz de Fora,Carangola,Zona da Mata,Divino,3122009,Sim,MG,734,1,751,838,1589,290.0,22418365.34
Juíz de Fora,Carangola,Zona da Mata,Espera Feliz,3124203,Sim,MG,828,3,813,945,1758,341.0,18770272.75
Juíz de Fora,Carangola,Zona da Mata,Faria Lemos,3125309,Sim,MG,76,0,70,89,159,30.0,1816198.16
Juíz de Fora,Carangola,Zona da Mata,Orizânia,3145877,Sim,MG,522,0,507,573,1080,271.0,17102079.419999998
Juíz de Fora,Carangola,Zona da Mata,Pedra Bonita,3148756,Sim,MG,354,1,435,519,954,96.0,6262216.779999999
Juíz de Fora,Carangola,Zona da Mata,Pedra Dourada,3149002,Sim,MG,67,0,65,71,136,19.0,693978.3500000001
Juíz de Fora,Carangola,Zona da Mata,Tombos,3169208,Sim,MG,211,1,171,228,399,110.0,5905028.17
Juíz de Fora,Cataguases,Zona da Mata,Argirita,3104403,Sim,MG,35,1,34,33,67,17.0,2632560.4
Juíz de Fora,Cataguases,Zona da Mata,Astolfo Dutra,3104601,Sim,MG,54,0,48,65,113,29.0,2449810.2199999997
Juíz de Fora,Cataguases,Zona da Mata,Cataguases,3115300,Sim,MG,89,0,68,88,156,32.0,2239325.19
Juíz de Fora,Cataguases,Zona da Mata,Dona Euzébia,3122900,Sim,MG,45,1,43,53,96,19.0,1440107.3599999999
Juíz de Fora,Cataguases,Zona da Mata,Itamarati de Minas,3132602,Sim,MG,31,1,34,40,74,7.0,405166.4
Juíz de Fora,Cataguases,Zona da Mata,Laranjal,3138005,Sim,MG,105,0,86,103,189,31.0,2497532.93
Juíz de Fora,Cataguases,Zona da Mata,Leopoldina,3138401,Sim,MG,111,2,84,110,194,40.0,3317508.03
Juíz de Fora,Cataguases,Zona da Mata,Palma,3146701,Sim,MG,83,1,72,88,160,26.0,1727138.7600000002
Juíz de Fora,Cataguases,Zona da Mata,Recreio,3154101,Sim,MG,46,0,39,41,80,19.0,1467775.51
Juíz de Fora,Cataguases,Zona da Mata,Santana de Cataguases,3158409,Sim,MG,48,0,41,45,86,16.0,870041.72
Juíz de Fora,Juiz de Fora,Zona da Mata,Aracitaba,3103306,Sim,MG,27,0,24,29,53,13.0,950485.84
Juíz de Fora,Juiz de Fora,Zona da Mata,Belmiro Braga,3106101,Sim,MG,12,0,7,12,19,2.0,44461.95
Juíz de Fora,Juiz de Fora,Zona da Mata,Bias Fortes,3106804,Sim,MG,71,0,45,65,110,21.0,1493853.96
Juíz de Fora,Juiz de Fora,Zona da Mata,Chiador,3116209,Sim,MG,5,0,5,5,10,2.0,291140.72
Juíz de Fora,Juiz de Fora,Zona da Mata,Chácara,3115904,Sim,MG,5,0,4,6,10,,
Juíz de Fora,Juiz de Fora,Zona da Mata,Coronel Pacheco,3119609,Sim,MG,8,0,7,8,15,5.0,127918.27
Juíz de Fora,Juiz de Fora,Zona da Mata,Ewbank da Câmara,3125002,Sim,MG,7,0,9,9,18,,
Juíz de Fora,Juiz de Fora,Zona da Mata,Goianá,3127388,Sim,MG,124,0,102,106,208,33.0,891539.03
Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora,3136702,Sim,MG,84,5,59,74,133,12.0,719965.84
Juíz de Fora,Juiz de Fora,Zona da Mata,Lima Duarte,3138609,Sim,MG,71,1,46,79,125,19.0,1813914.96
Juíz de Fora,Juiz de Fora,Zona da Mata,Matias Barbosa,3140803,Sim,MG,9,0,4,9,13,1.0,210000.0
Juíz de Fora,Juiz de Fora,Zona da Mata,Olaria,3145406,Sim,MG,30,0,21,29,50,7.0,575868.5900000001
Juíz de Fora,Juiz de Fora,Zona da Mata,Oliveira Fortes,3145703,Sim,MG,21,0,14,19,33,7.0,566144.74
Juíz de Fora,Juiz de Fora,Zona da Mata,Paiva,3146602,Sim,MG,24,0,25,30,55,12.0,833029.8600000001
Juíz de Fora,Juiz de Fora,Zona da Mata,Pedro Teixeira,3149408,Sim,MG,16,0,9,16,25,6.0,497411.61
Juíz de Fora,Juiz de Fora,Zona da Mata,Piau,3150109,Sim,MG,47,0,31,42,73,9.0,722084.95
Juíz de Fora,Juiz de Fora,Zona da Mata,Rio Novo,3155405,Sim,MG,22,0,18,21,39,19.0,823002.42
Juíz de Fora,Juiz de Fora,Zona da Mata,Rio Preto,3155900,Sim,MG,47,0,30,46,76,25.0,1645847.1500000001
